Gene,RLS
YDR509W,30
YDR511W,26.6
YDR512C,24.24
YDR513W,30.6
YDR514C,17
YDR515W,25.5
YDR516C,27.8
YDR517W,35
YDR518W,29.35294
YDR519W,32.2
YDR520C,19.6
YDR521W,27.6
YDR522C,26.4
YDR523C,31.48889
YDR524C,29.33333
YDR525W-A,21.16
YDR525W,37.4
YDR528W,27.2
YDR529C,15.52
YDR530C,24.4
YDR532C,5
YDR533C,27.8
YDR534C,32
YDR535C,22.2
YDR536W,22.2
YDR537C,29
YDR538W,26.8
YDR539W,20.6
YDR540C,25
YDR541C,22
YEL001C,29.4
YEL003W,25.8
YEL004W,25.2
YEL005C,31.8
YEL006W,26.68889
YEL007W,18.4
YEL008W,32.2
YEL009C,27.17764
YEL010W,34
YEL011W,24.8
YEL012W,23.2
YEL013W,19.48889
YEL014C,26.4
YEL015W,29.8
YEL016C,33.2
YEL017C-A,36
YEL017W,26.8
YEL018W,26.2
YEL020C,27.2
YEL023C,20.6
YEL024W,21.42012
YEL025C,26
YEL027W,4
YEL028W,21.6
YEL029C,28
YEL030W,21.70455
YEL031W,24.8
YEL033W,23.8
YEL036C,5.6
YEL037C,26.43077
YEL038W,16.6
YEL039C,25.8
YEL040W,30
YEL041W,24.8
YEL042W,19.2
YEL043W,26.8
YEL044W,16.2
YEL045C,28.88
YEL046C,18.6
YEL047C,31.4
YEL048C,23.2
YEL049W,25.4
YEL050C,29
YEL051W,9.6
YEL052W,24.4
YEL053C,25.6
YEL054C,30.89062
YEL056W,23.2
YEL057C,25.4
YEL059W,25.2
YEL060C,31.4
YEL061C,24.8
YEL062W,13.2
YEL063C,32.56923
YEL064C,25.2
YEL065W,18
YEL066W,22.4
YEL067C,16.8
YEL068C,23.6
YEL071W,25
YEL072W,16
YER001W,30.46667
YER002W,21.2
YER004W,21.2
YER005W,25.8
YER007C-A,27.2
YER007W,28.23529
YER010C,21.8
YER011W,27.8
YER014C-A,23
YER016W,15.8
YER017C,25.42027
YER019C-A,26.2
YER019W,24.6
YER020W,31.97842
YER024W,30
YER027C,13.2
YER028C,31.70769
YER030W,28.8
YER031C,22.96
