systematic,gene,sgd
YBR179C,FZO1,S000000383
YBR180W,DTR1,S000000384
YBR181C,RPS6B,S000000385
YBR182C,SMP1,S000000386
YBR182C-A,YBR182C-A,S000028603
YBR183W,YPC1,S000000387
YBR184W,YBR184W,S000000388
YBR185C,MBA1,S000000389
YBR186W,PCH2,S000000390
YBR187W,GDT1,S000000391
YBR188C,NTC20,S000000392
YBR189W,RPS9B,S000000393
YBR190W,YBR190W,S000000394
YBR191W,RPL21A,S000000395
YBR191W-A,YBR191W-A,S000007594
YBR192W,RIM2,S000000396
YBR193C,MED8,S000000397
YBR194W,AIM4,S000000398
YBR195C,MSI1,S000000399
YBR196C,PGI1,S000000400
YBR196C-A,YBR196C-A,S000028534
YBR196C-B,YBR196C-B,S000028816
YBR197C,YBR197C,S000000401
YBR198C,TAF5,S000000402
YBR199W,KTR4,S000000403
YBR200W,BEM1,S000000404
YBR200W-A,YBR200W-A,S000028535
YBR201C-A,YBR201C-A,S000087085
YBR201W,DER1,S000000405
YBR202W,MCM7,S000000406
YBR203W,COS111,S000000407
YBR204C,LDH1,S000000408
YBR205W,KTR3,S000000409
YBR206W,YBR206W,S000000410
YBR207W,FTH1,S000000411
YBR208C,DUR12,S000000412
YBR209W,YBR209W,S000000413
YBR210W,ERV15,S000000414
YBR211C,AME1,S000000415
YBR212W,NGR1,S000000416
YBR213W,MET8,S000000417
YBR214W,SDS24,S000000418
YBR215W,HPC2,S000000419
YBR216C,YBP1,S000000420
YBR217W,ATG12,S000000421
YBR218C,PYC2,S000000422
YBR219C,YBR219C,S000000423
YBR220C,YBR220C,S000000424
YBR221C,PDB1,S000000425
YBR221W-A,YBR221W-A,S000028817
YBR222C,PCS60,S000000426
YBR223C,TDP1,S000000427
YBR223W-A,YBR223W-A,S000028604
YBR224W,YBR224W,S000000428
YBR225W,YBR225W,S000000429
YBR226C,YBR226C,S000000430
YBR227C,MCX1,S000000431
YBR228W,SLX1,S000000432
YBR229C,ROT2,S000000433
YBR230C,OM14,S000000434
YBR230W-A,YBR230W-A,S000029722
YBR231C,SWC5,S000000435
YBR232C,YBR232C,S000000436
YBR233W,PBP2,S000000437
YBR233W-A,DAD3,S000007595
YBR234C,ARC40,S000000438
YBR235W,VHC1,S000000439
YBR236C,ABD1,S000000440
YBR237W,PRP5,S000000441
YBR238C,YBR238C,S000000442
YBR239C,ERT1,S000000443
YBR240C,THI2,S000000444
YBR241C,YBR241C,S000000445
YBR242W,YBR242W,S000000446
YBR243C,ALG7,S000000447
YBR244W,GPX2,S000000448
YBR245C,ISW1,S000000449
YBR246W,RRT2,S000000450
YBR247C,ENP1,S000000451
YBR248C,HIS7,S000000452
