gene,orf,no. of probes,measurments,F-statistic,#NAME?,difference,YPD,YPDGE,YPG,YPE,YPL
YER126C,YER126C,0,0,,,,,,,,
LCP5,YER127W,0,0,,,,,,,,
YER128W,YER128W,4,44,1.47421,0.63643,0.04888,1.01872,1.05777,1.0676,1.06456,1.06321
PAK1,YER129W,4,44,2.42987,1.18095,0.04545,1.00849,1.00685,1.04148,0.99833,1.04379
YER130C,YER130C,4,44,1.7482,0.79173,0.03696,1.00137,1.01631,1.03833,1.02684,1.02518
RPS26b,YER131W,4,44,6.20338,3.15583,0.10035,0.91778,0.96006,1.01813,0.9939,0.99584
PMD1,YER132C,4,44,1.89812,0.87729,0.03067,1.00278,1.02313,1.03344,1.00885,1.01995
GLC7,YER133W,0,0,,,,,,,,
YER134C,YER134C,4,44,0.77531,0.26064,0.02077,0.99865,1.00828,1.01942,0.99914,1.01071
YER135C,YER135C,4,44,1.10766,0.43367,0.0453,0.99402,1.03529,1.03761,1.02429,1.03932
GDI1,YER136W,0,0,,,,,,,,
YER137C,YER137C,4,44,4.09592,2.10004,0.04478,0.96471,0.98418,1.00949,0.98691,0.99731
YER139C,YER139C,3,33,17.14108,6.15773,0.10355,0.87729,0.90991,0.98084,0.9403,0.96235
YER140W,YER140W,4,44,1.05472,0.4052,0.033,1.00187,1.02289,1.02829,1.02138,1.03486
COX15,YER141W,4,32,27.78672,7.78495,0.27706,0.8306,0.78638,0.65094,0.60117,0.55354
MAG1,YER142C,4,44,0.60682,0.18022,0.02553,0.99599,0.99597,1.0215,1.00844,1.01128
DDI1,YER143W,4,44,2.77943,1.37893,0.03442,1.00083,0.99203,1.00371,0.96929,0.9803
UBP5,YER144C,4,43,2.46725,1.1981,0.05073,1.02403,1.03822,1.02894,1.07475,1.07373
FTR1,YER145C,4,44,30.61914,10.26542,0.18258,0.95434,0.97646,0.79388,0.84134,0.87602
LSM5,YER146W,0,0,,,,,,,,
YER147C,YER147C,0,0,,,,,,,,
spt15,YER148W,0,0,,,,,,,,
PEA2,YER149C,4,44,0.03777,0.00124,0.00546,1.02437,1.02747,1.02202,1.02292,1.02699
SPI1,YER150W,4,44,1.97239,0.91974,0.04057,1.00336,0.97489,0.97729,0.96939,0.96279
UBP3,YER151C,4,44,2.4244,1.17783,0.05698,0.91576,0.89658,0.85878,0.88395,0.87989
YER152C,YER152C,4,44,0.82165,0.2838,0.03266,1.01994,0.99755,0.99825,0.98728,0.9903
pet122,YER153C,2,15,8.5501,2.26137,0.25715,0.84271,0.79804,0.63396,0.58556,0.62943
