Gene,RLS
YNL310C,0
YNL312W,0
YNL313C,0
YNL317W,0
YNR003C,0
YNR011C,0
YNR016C,0
YNR017W,0
YNR026C,0
YNR035C,0
YNR038W,0
YNR043W,0
YNR046W,0
YNR053C,0
YNR054C,0
YOL005C,0
YOL010W,0
YOL021C,0
YOL022C,0
YOL026C,0
YOL034W,0
YOL038W,0
YOL040C,0
YOL066C,0
YOL069W,0
YOL077C,0
YOL078W,0
YOL094C,0
YOL097C,0
YOL102C,0
YOL120C,0
YOL123W,0
YOL127W,0
YOL130W,0
YOL133W,0
YOL135C,0
YOL144W,0
YOL146W,0
YOL149W,0
YOR004W,0
YOR020C,0
YOR046C,0
YOR056C,0
YOR057W,0
YOR060C,0
YOR063W,0
YOR074C,0
YOR075W,0
YOR077W,0
YOR095C,0
YOR098C,0
YOR103C,0
YOR110W,0
YOR116C,0
YOR117W,0
YOR119C,0
YOR122C,0
YOR143C,0
YOR148C,0
YOR149C,0
YOR151C,0
YOR157C,0
YOR159C,0
YOR168W,0
YOR174W,0
YOR176W,0
YOR181W,0
YOR194C,0
YOR204W,0
YOR206W,0
YOR207C,0
YOR210W,0
YOR217W,0
YOR224C,0
YOR232W,0
YOR236W,0
YOR244W,0
YOR249C,0
YOR250C,0
YOR254C,0
YOR256C,0
YOR257W,0
YOR259C,0
YOR260W,0
YOR261C,0
YOR262W,0
YOR272W,0
YOR278W,0
YOR281C,0
YOR287C,0
YOR294W,0
YOR310C,0
YOR319W,0
YOR326W,0
YOR329C,0
YOR335C,0
YOR336W,0
YOR340C,0
YOR341W,0
YOR353C,0
YOR361C,0
YOR362C,0
YOR370C,0
YOR372C,0
YOR373W,0
YPL007C,0
YPL010W,0
YPL011C,0
YPL012W,0
YPL016W,0
YPL020C,0
YPL028W,0
YPL043W,0
YPL063W,0
YPL075W,0
YPL076W,0
YPL082C,0
YPL083C,0
YPL085W,0
YPL093W,0
YPL094C,0
YPL117C,0
YPL122C,0
YPL124W,0
YPL126W,0
YPL128C,0
YPL131W,0
YPL143W,0
YPL146C,0
YPL151C,0
YPL160W,0
YPL169C,0
YPL175W,0
YPL190C,0
YPL204W,0
YPL209C,0
YPL210C,0
YPL211W,0
YPL217C,0
YPL218W,0
YPL228W,0
YPL231W,0
YPL233W,0
YPL235W,0
YPL237W,0
YPL242C,0
YPL243W,0
YPL252C,0
YPL255W,0
YPL266W,0
YPR010C,0
YPR016C,0
YPR019W,0
YPR025C,0
YPR033C,0
YPR034W,0
YPR035W,0
YPR041W,0
YPR048W,0
YPR055W,0
YPR056W,0
YPR082C,0
YPR085C,0
YPR086W,0
YPR088C,0
YPR094W,0
YPR103W,0
YPR105C,0
YPR107C,0
YPR108W,0
YPR110C,0
YPR112C,0
YPR113W,0
YPR133C,0
YPR137W,0
YPR143W,0
YPR144C,0
YPR161C,0
YPR162C,0
YPR165W,0
YPR168W,0
YPR169W,0
YPR175W,0
YPR176C,0
YPR178W,0
YPR180W,0
YPR181C,0
YPR182W,0
YPR183W,0
YPR186C,0
YPR187W,0
YPR190C,0
